2023-04-05 10:01:00,75.4,55,33.6,2294
2023-04-05 10:06:00,77.6,55,33.7,2337
2023-04-05 10:11:00,77.7,55,33.4,2298
2023-04-05 10:16:00,78,55,33.2,2640
2023-04-05 10:21:00,78.1,56,32.4,2443
2023-04-05 10:26:00,77.9,55,32.9,2224
2023-04-05 10:31:00,76.7,55,32.5,2318
2023-04-05 10:36:00,77.5,55,32.6,2670
2023-04-05 10:41:00,76.4,55,32.6,2558
2023-04-05 10:46:00,76,53,32.8,2350
2023-04-05 10:51:00,75.9,54,32.6,2571
2023-04-05 10:56:00,75.9,54,33.4,2395
2023-04-05 11:01:00,75.4,56,33.7,2214
2023-04-05 11:06:00,75.6,56,33.6,2699
2023-04-05 11:11:00,75.3,56,33.1,2364
2023-04-05 11:16:00,75.3,56,32.7,2513
2023-04-05 11:21:00,75.8,56,33.1,2406
2023-04-07 09:30:00,65,56,33.5,2222
2023-04-07 09:35:00,64.3,54,34,2517
2023-04-07 09:40:00,70,55,34.2,2355
2023-04-07 09:45:00,71,55,34.5,2336
2023-04-07 09:50:00,71.3,55,34.1,2694
2023-04-07 09:55:00,73.4,55,34.6,2519
2023-04-07 10:00:00,75.6,55,34.6,2700
2023-04-07 10:05:00,82.3,55,34.2,2646
2023-04-07 10:10:00,83.3,54,34.3,2279
2023-04-07 10:15:00,84.1,54,34.7,2526
2023-04-07 10:20:00,84.2,54,34.7,2569
2023-04-07 10:25:00,84.1,54,34.8,2466
2023-04-07 10:30:00,84,57,34.9,2636
2023-04-07 10:35:00,84.3,57,35,2261
2023-04-07 10:40:00,83,56,34.8,2637
2023-04-07 10:45:00,83.3,57,34.7,2494
2023-04-07 10:50:00,83.4,57,34.2,2255
2023-04-07 10:55:00,86.3,56,34.6,2285
2023-04-07 11:00:00,86.1,58,34.1,2371
2023-04-07 11:05:00,83.1,59,34.6,2441
2023-04-07 11:10:00,83.1,56,34.8,2466
2023-04-07 11:15:00,80.1,56,33.4,2654
2023-04-07 11:20:00,80,58,33.4,2630
2023-04-07 11:25:00,78.6,58,34.5,2346
2023-04-07 11:30:00,79.4,57,34.1,2430
2023-04-12 09:43:00,55,39,35.4,3051
2023-04-12 09:48:00,54.3,38,35.8,3378
2023-04-12 09:53:00,56.3,37,35.9,3200
2023-04-12 09:58:00,56.3,37,36.1,3152
2023-04-12 10:03:00,53.4,34,36.2,3400
2023-04-12 10:08:00,53.3,34,36.6,2700
2023-04-12 10:13:00,59,34,36.4,2733
2023-04-12 10:18:00,60.1,35,36.1,2785
2023-04-12 10:23:00,62.2,36,35.7,3029
2023-04-12 10:28:00,61.1,37,35.6,3386
2023-04-12 10:33:00,61.3,40,36.2,3297
2023-04-12 10:38:00,61.4,41,35.8,3325
2023-04-12 10:43:00,61.2,42,36.4,3420
2023-04-12 10:48:00,62,42,36.3,3225
2023-04-12 10:53:00,62.1,41,36.6,3388
2023-04-12 10:58:00,62.3,43,37,3187
2023-04-12 11:03:00,63.4,42,37.2,3421
2023-04-12 11:08:00,63.5,43,36,2999
2023-04-12 11:03:00,63.1,43,37.6,2870
2023-04-12 11:13:00,64,43,36.4,3177
2023-04-12 11:18:00,64.3,43,35.4,3162
2023-04-12 11:23:00,65.3,44,36.2,2783
2023-04-12 11:38:00,65.4,44,36.8,3138
2023-04-12 11:43:00,65.7,44,37.3,3360
2023-04-12 11:48:00,63.4,44,37,2983
2023-04-12 11:53:00,63.4,44,37,3100
2023-04-12 11:58:00,63.4,44,37,3499
