"March 24, 2023 at 11:07AM",92.7,86,31.4,2197
"March 24, 2023 at 11:12AM",92.5,85,31.5,1946
"March 24, 2023 at 11:17AM",92,86,31.6,1824
"March 24, 2023 at 11:22AM",93.1,87,31,1845
"March 24, 2023 at 11:27AM",93,86,30.9,2199
"March 24, 2023 at 11:32AM",73.2,86,30.4,2319
"April 5, 2023 at 09:11AM",74.1,55,30.8,2232
"April 5, 2023 at 09:16AM",73,53,31.2,2468
"April 5, 2023 at 09:21AM",76,54,32.4,2474
"April 5, 2023 at 09:26AM",77,53,33,2333
"April 5, 2023 at 09:31AM",77.1,56,33.1,2356
"April 5, 2023 at 09:36AM",76.9,53,33.4,2692
"April 5, 2023 at 09:41AM",75.4,56,34.2,2680
"April 5, 2023 at 09:46AM",74.6,56,34.6,2375
"April 5, 2023 at 09:51AM",74.7,55,34,2604
"April 5, 2023 at 09:56AM",76.4,55,33.8,2687
"April 5, 2023 at 10:01AM",75.4,55,33.6,2294
"April 5, 2023 at 10:06AM",77.6,55,33.7,2337
"April 5, 2023 at 10:11AM",77.7,55,33.4,2298
"April 5, 2023 at 10:16AM",78,55,33.2,2640
"April 5, 2023 at 10:21AM",78.1,56,32.4,2443
"April 5, 2023 at 10:26AM",77.9,55,32.9,2224
"April 5, 2023 at 10:31AM",76.7,55,32.5,2318
"April 5, 2023 at 10:36AM",77.5,55,32.6,2670
"April 5, 2023 at 10:41AM",76.4,55,32.6,2558
"April 5, 2023 at 10:46AM",76,53,32.8,2350
"April 5, 2023 at 10:51AM",75.9,54,32.6,2571
"April 5, 2023 at 10:56AM",75.9,54,33.4,2395
"April 5, 2023 at 11:01AM",75.4,56,33.7,2214
"April 5, 2023 at 11:06AM",75.6,56,33.6,2699
"April 5, 2023 at 11:11AM",75.3,56,33.1,2364
"April 5, 2023 at 11:16AM",75.3,56,32.7,2513
"April 5, 2023 at 11:21AM",75.8,56,33.1,2406
"April 7, 2023 at 09:30AM",65,56,33.5,2222
"April 7, 2023 at 09:35AM",64.3,54,34,2517
"April 7, 2023 at 09:40AM",70,55,34.2,2355
"April 7, 2023 at 09:45AM",71,55,34.5,2336
"April 7, 2023 at 09:50AM",71.3,55,34.1,2694
"April 7, 2023 at 09:55AM",73.4,55,34.6,2519
"April 7, 2023 at 10:00AM",75.6,55,34.6,2700
"April 7, 2023 at 10:05AM",82.3,55,34.2,2646
"April 7, 2023 at 10:10AM",83.3,54,34.3,2279
"April 7, 2023 at 10:15AM",84.1,54,34.7,2526
"April 7, 2023 at 10:20AM",84.2,54,34.7,2569
"April 7, 2023 at 10:25AM",84.1,54,34.8,2466
"April 7, 2023 at 10:30AM",84,57,34.9,2636
"April 7, 2023 at 10:35AM",84.3,57,35,2261
"April 7, 2023 at 10:40AM",83,56,34.8,2637
"April 7, 2023 at 10:45AM",83.3,57,34.7,2494
"April 7, 2023 at 10:50AM",83.4,57,34.2,2255
"April 7, 2023 at 10:55AM",86.3,56,34.6,2285
"April 7, 2023 at 11:00AM",86.1,58,34.1,2371
"April 7, 2023 at 11:05AM",83.1,59,34.6,2441
"April 7, 2023 at 11:10AM",83.1,56,34.8,2466
"April 7, 2023 at 11:15AM",80.1,56,33.4,2654
"April 7, 2023 at 11:20AM",80,58,33.4,2630
"April 7, 2023 at 11:25AM",78.6,58,34.5,2346
"April 7, 2023 at 11:30AM",79.4,57,34.1,2430
"April 12, 2023 at 09:43AM",55,39,35.4,3051
"April 12, 2023 at 09:48AM",54.3,38,35.8,3378
"April 12, 2023 at 09:53AM",56.3,37,35.9,3200
"April 12, 2023 at 09:58AM",56.3,37,36.1,3152
"April 12, 2023 at 10:03AM",53.4,34,36.2,3400
"April 12, 2023 at 10:08AM",53.3,34,36.6,2700
"April 12, 2023 at 10:13AM",59,34,36.4,2733
"April 12, 2023 at 10:18AM",60.1,35,36.1,2785
